Index,Chess Index,Name,Live Value,Min Value,Max Value,Mean Value,StdDev Value,Top1 Core ID,Top1 Strength,Top1 Quality,Top2 Core ID,Top2 Strength,Top2 Quality,Top3 Core ID,Top3 Strength,Top3 Quality,Top4 Core ID,Top4 Strength,Top4 Quality
347,D43,"",1.328,0.000,13.262,1.680,1.316,5,0.130,1.000,21,0.094,1.000,0,0.059,1.000,20,0.038,1.000
348,E43,"",1.254,0.000,14.775,2.243,1.542,6,0.108,1.000,1,0.093,1.000,22,0.074,1.000,16,0.068,1.000
349,F43,"",1.328,0.000,14.712,2.084,1.470,7,0.107,1.000,23,0.073,1.000,30,0.058,1.000,18,0.047,1.000
350,G43,"",0.045,0.000,8.752,0.234,0.849,24,0.148,1.000,8,0.118,1.000,0,0.000,1.000,1,0.000,1.000
351,H43,"",0.045,0.000,9.268,0.235,0.850,25,0.142,1.000,9,0.118,1.000,0,0.000,1.000,1,0.000,1.000
352,A44,"",0.045,0.000,7.764,0.235,0.854,26,0.145,1.000,10,0.131,1.000,0,0.000,1.000,1,0.000,1.000
353,B44,"",0.045,0.000,9.242,0.243,0.876,27,0.152,1.000,11,0.134,1.000,0,0.000,1.000,1,0.000,1.000
354,C44,"",0.045,0.000,9.125,0.240,0.867,28,0.157,1.000,12,0.131,1.000,0,0.000,1.000,1,0.000,1.000
355,D44,"",0.045,0.000,9.955,0.244,0.871,29,0.155,1.000,13,0.143,1.000,0,0.000,1.000,1,0.000,1.000
356,E44,"",0.045,0.000,8.940,0.241,0.866,30,0.155,1.000,14,0.154,1.000,0,0.000,1.000,1,0.000,1.000
357,F44,"",0.045,0.000,9.239,0.238,0.864,15,0.150,1.000,31,0.147,1.000,0,0.000,1.000,1,0.000,1.000
358,G44,"",1.240,0.000,1.405,1.033,0.298,0,0.149,1.000,2,0.096,1.000,1,0.095,1.000,3,0.090,1.000
359,H44,"",1.198,0.000,1.378,1.106,0.229,0,0.145,1.000,1,0.124,1.000,2,0.082,1.000,4,0.069,1.000
360,A45,"",1.233,0.000,1.406,1.051,0.294,0,0.163,1.000,1,0.122,1.000,2,0.089,1.000,4,0.077,1.000
361,B45,"",1.170,0.000,1.390,1.135,0.208,0,0.196,1.000,1,0.166,1.000,3,0.159,1.000,2,0.106,1.000
362,C45,"",1.241,0.000,1.429,1.119,0.280,0,0.174,1.000,1,0.123,1.000,3,0.103,1.000,2,0.096,1.000
363,D45,"",0.659,0.000,1.424,1.023,0.300,0,0.174,1.000,1,0.117,1.000,2,0.096,1.000,3,0.090,1.000
364,E45,"",0.653,0.000,1.393,1.052,0.272,0,0.203,1.000,2,0.125,1.000,1,0.083,1.000,5,0.073,1.000
365,F45,"",0.652,0.000,1.404,1.040,0.279,0,0.195,1.000,2,0.112,1.000,3,0.088,1.000,1,0.079,1.000
366,G45,"",0.650,0.000,1.424,0.709,0.168,24,0.111,1.000,8,0.106,1.000,30,0.000,1.000,23,0.000,1.000
367,H45,"",0.650,0.000,1.398,0.700,0.152,9,0.127,1.000,25,0.125,1.000,30,0.000,1.000,29,0.000,1.000
368,A46,"",0.650,0.000,1.419,0.703,0.161,10,0.119,1.000,26,0.114,1.000,21,0.000,1.000,20,0.000,1.000
369,B46,"",0.650,0.000,1.430,0.699,0.153,27,0.131,1.000,11,0.130,1.000,26,0.000,1.000,22,0.000,1.000
370,C46,"",0.650,0.000,1.405,0.696,0.148,12,0.137,1.000,28,0.135,1.000,31,0.000,1.000,21,0.000,1.000
371,D46,"",0.650,0.000,1.404,0.699,0.154,13,0.133,1.000,29,0.124,1.000,25,0.000,1.000,15,0.000,1.000
372,E46,"",0.650,0.000,1.435,0.700,0.155,14,0.131,1.000,30,0.128,1.000,29,0.000,1.000,28,0.000,1.000
373,F46,"",0.650,0.000,1.421,0.696,0.149,15,0.134,1.000,31,0.124,1.000,0,0.000,1.000,1,0.000,1.000
374,G46,"",63.375,0.000,80.375,61.825,1.829,16,0.200,1.000,30,0.077,1.000,21,0.073,1.000,1,0.063,1.000
375,H46,"",77.750,0.000,91.562,65.687,3.394,1,0.164,1.000,30,0.102,1.000,0,0.083,1.000,20,0.080,1.000
